iter	RMSE
0	0.9840964789
1	0.965299442
2	0.947384286
3	0.9298412487
4	0.9139693602
5	0.8980915009
6	0.8822489846
7	0.8657172035
8	0.8509342626
9	0.8361710225
10	0.8226719595
11	0.8090783811
12	0.7951750853
13	0.7820501995
14	0.769236927
15	0.7566679966
16	0.7458445535
17	0.7346885844
18	0.7236811445
19	0.7123945288
20	0.7024101434
21	0.6927164252
22	0.6820810865
23	0.671689011
24	0.6626200467
25	0.6541501372
26	0.645170412
27	0.6373952646
28	0.6280456557
29	0.6200324687
30	0.6114322489
31	0.6037180426
32	0.5963325216
33	0.5886409383
34	0.5817391007
35	0.5750721977
36	0.5674795081
37	0.5606231119
38	0.5532438014
39	0.5473079563
40	0.5408426147
41	0.5341253309
42	0.5277411157
43	0.5220430638
44	0.5164896373
45	0.5101911004
46	0.5052015524
47	0.4997540043
48	0.4947542611
49	0.4897913123
50	0.48601284
51	0.4810386145
52	0.4759398476
53	0.4711973008
54	0.4676724894
55	0.4637756156
56	0.4594393935
57	0.455369997
58	0.4510708929
59	0.4476817935
60	0.4436680737
61	0.4403543032
62	0.4366443169
63	0.4327985567
64	0.4292699474
65	0.4261195071
66	0.4227089817
67	0.4195867312
68	0.4163403456
69	0.4130821195
70	0.4104518692
71	0.4077382793
72	0.4048476034
73	0.401986806
74	0.3990213816
75	0.3968668343
76	0.3943700658
77	0.3918113413
78	0.3892091433
79	0.3863812676
80	0.3838864808
81	0.3813520128
82	0.3791925784
83	0.3764905271
84	0.3744379453
85	0.3723087722
86	0.3704177174
87	0.3685985107
88	0.3665359427
89	0.3646470103
90	0.3626546163
91	0.3608163548
92	0.3591377196
93	0.3577818702
94	0.355945093
95	0.3545243291
96	0.3530442016
97	0.3513285819
98	0.3498140095
99	0.347948865
100	0.3462805578
101	0.3450527397
102	0.343389057
103	0.3420943953
104	0.340413134
105	0.3390433061
106	0.3376623127
107	0.3365057409
108	0.3350604227
109	0.3337874652
110	0.3325921908
111	0.3313317128
112	0.3301030125
113	0.3288831375
114	0.3278305359
115	0.3267701478
116	0.3256203338
117	0.3249212619
118	0.3237963884
119	0.3226079723
120	0.3215182797
121	0.3206088094
122	0.3197206359
123	0.3189212807
124	0.317984152
125	0.3172530084
126	0.3163962224
127	0.3155140737
128	0.3144966137
129	0.3137137896
130	0.3128532026
131	0.3120495889
132	0.3111365606
133	0.3101038975
134	0.3093334238
135	0.3084122699
136	0.307586381
137	0.3067923176
138	0.3059497932
139	0.3049938159
140	0.3039498213
141	0.3033601264
142	0.3028866686
143	0.3021224314
144	0.3014913
145	0.3006828407
146	0.3002170535
147	0.2996730035
148	0.2988531446
149	0.2979383155
150	0.2972977586
151	0.2965498427
152	0.2961471917
153	0.2955508519
154	0.2949532758
155	0.2943723872
156	0.29357548
157	0.2930681213
158	0.292410187
159	0.2919367467
160	0.2914107087
161	0.2909622905
162	0.2905417287
163	0.2901478461
164	0.2893783389
165	0.2887645194
166	0.2883522036
167	0.2878956672
168	0.2873407725
169	0.2868957114
170	0.2864153104
171	0.2859977809
172	0.2853950498
173	0.2847886058
174	0.2840019719
175	0.2833739901
176	0.2828675109
177	0.2824224604
178	0.2819915472
179	0.2814166025
180	0.2806887054
181	0.2800963862
182	0.2796582143
183	0.2791105019
184	0.2786322686
185	0.2781159216
186	0.2776318816
187	0.2774433626
188	0.2770276266
189	0.2765440156
190	0.27588639
191	0.2754649303
192	0.2749692703
193	0.2747067091
194	0.2741725523
195	0.2735107981
196	0.2731752491
197	0.2726704344
198	0.2720709859
199	0.2715138058
200	0.2712034554
201	0.2707515386
202	0.2704114322
203	0.2699282748
204	0.2696870571
205	0.2693054483
206	0.2689525773
207	0.2685666225
208	0.2681303467
209	0.2676770646
210	0.2671136339
211	0.2667780938
212	0.266374576
213	0.2659806898
214	0.2655721765
215	0.2650895788
216	0.2646606868
217	0.2641708285
218	0.2637877341
219	0.2635000297
220	0.2632107133
221	0.2627769936
222	0.2622746115
223	0.2618774095
224	0.2615718829
225	0.2612069284
226	0.2609151815
227	0.2606160186
228	0.2601950714
229	0.259789899
230	0.2593433552
231	0.2589935172
232	0.2588180157
233	0.2585981064
234	0.2583410314
235	0.2579794114
236	0.2576650767
237	0.257451662
238	0.2569891466
239	0.2567606064
240	0.2562456262
241	0.2558474623
242	0.255441332
243	0.2552634506
244	0.2549811587
245	0.2548292064
246	0.2546069599
247	0.2542364471
248	0.2539717561
249	0.2536809632
250	0.2534895753
251	0.2530912373
252	0.2527221921
253	0.2524345745
254	0.252003085
255	0.2517082059
256	0.2512542168
257	0.2506418246
258	0.2502943205
259	0.2500277354
260	0.2496893976
261	0.2492073499
262	0.2487507421
263	0.2484792183
264	0.2482446002
265	0.2480250537
266	0.2477570876
267	0.2473104828
268	0.2469214373
269	0.2466058744
270	0.2462050147
271	0.2458715841
272	0.2455726584
273	0.2453551708
274	0.2450542638
275	0.2447769734
276	0.2444898992
277	0.2442092917
278	0.2439250182
279	0.2436807857
280	0.2435208014
281	0.2430805387
282	0.2427801798
283	0.242404524
284	0.2421671674
285	0.2418538748
286	0.2415645166
287	0.2413842113
288	0.2411040896
289	0.2407627194
290	0.2405489924
291	0.2402963523
292	0.2399255378
293	0.239572478
294	0.2392796859
295	0.2387769643
296	0.2385470359
297	0.2383182893
298	0.2381440957
299	0.2379230545
300	0.2377016955
301	0.2374117228
302	0.2372437397
303	0.2369586156
304	0.2367145089
305	0.2362667419
306	0.2359492658
307	0.2356153664
308	0.2354060965
309	0.235194364
310	0.2349318335
311	0.2347025587
312	0.2344473019
313	0.2342951743
314	0.2339732784
315	0.2337487075
316	0.2335030437
317	0.2332883872
318	0.2327888044
319	0.2325531978
320	0.2321718956
321	0.2319379922
322	0.2315428503
323	0.2313524562
324	0.2310545375
325	0.2308332878
326	0.2305873071
327	0.2304941434
328	0.230255496
329	0.2300060043
330	0.2296522755
331	0.229373403
332	0.2291798795
333	0.228933036
334	0.2287412052
335	0.2285654738
336	0.2283547041
337	0.2280748093
338	0.2279384845
339	0.2277077133
340	0.2274369782
341	0.2273519079
342	0.2271989283
343	0.2270229112
344	0.2268052511
345	0.2266612586
346	0.2263458666
347	0.2261717864
348	0.2260402402
349	0.2258337438
350	0.2257174946
351	0.2255128396
352	0.2254186458
353	0.2251624343
354	0.2248752459
355	0.2246066659
356	0.2242544441
357	0.2240706158
358	0.223990366
359	0.2239121273
360	0.2236771267
361	0.223397427
362	0.2230419426
363	0.2228347797
364	0.2227261415
365	0.222492731
366	0.2223299505
367	0.2222361969
368	0.2219436367
369	0.2218720497
370	0.2216279627
371	0.2215479467
372	0.2214712552
373	0.2211143171
374	0.2208380068
375	0.2206756196
376	0.2205613622
377	0.2204717612
378	0.2203090706
379	0.2202381308
380	0.219905374
381	0.219832643
382	0.2197501288
383	0.2195448046
384	0.2193739784
385	0.2192478915
386	0.2190955399
387	0.2188378314
388	0.2186090998
389	0.2184756557
390	0.2182985261
391	0.2180931384
392	0.2177838503
393	0.2175858717
394	0.2174826851
395	0.2174009553
396	0.2172234077
397	0.2170831506
398	0.2170320749
399	0.2168177505
400	0.216631295
401	0.2162718151
402	0.2159783434
403	0.2157544241
404	0.2155558685
405	0.2154676996
406	0.2154171378
407	0.2151161562
408	0.2147900357
409	0.2147415007
410	0.2145911638
411	0.2145442904
412	0.2143823993
413	0.2140896518
414	0.2139486295
415	0.2138152376
416	0.2136188926
417	0.2133938932
418	0.2131923571
419	0.2129761458
420	0.2127992793
421	0.2124700516
422	0.2122811409
423	0.2122352589
424	0.2120899458
425	0.2118747429
426	0.2116743918
427	0.2113614428
428	0.2111662579
429	0.2111212888
430	0.2108586033
431	0.2107016073
432	0.2104624639
433	0.2101078322
434	0.2099080282
435	0.2098524657
436	0.2097195408
437	0.2094530446
438	0.2093922494
439	0.2091041231
440	0.2090569629
441	0.2088664116
442	0.2086285476
443	0.2084108338
444	0.2082994781
445	0.208130978
446	0.2080683758
447	0.2079663006
448	0.2077964537
449	0.2076053149
450	0.2071963233
451	0.2069788129
452	0.206902437
453	0.2066990155
454	0.2065694485
455	0.2062896448
456	0.2061675374
457	0.205908768
458	0.2058601551
459	0.2056724337
460	0.2056321503
461	0.2053835997
462	0.2053434556
463	0.2051599627
464	0.204984866
465	0.2047847116
466	0.2047246713
467	0.2044569305
468	0.2042322937
469	0.2041561805
470	0.2039739847
471	0.2037724645
472	0.2036448306
473	0.203605893
474	0.2034931507
475	0.2032369578
476	0.2030224073
477	0.2028608071
478	0.2026995888
479	0.2025013808
480	0.202341719
481	0.2021509072
482	0.2019936078
483	0.2018441329
484	0.201655543
