iter	Passed	Remaining
0	0	1592
1	1	1340
2	1	1230
3	2	1185
4	3	1128
5	3	1094
6	4	1067
7	4	1053
8	5	1041
9	5	1031
10	6	1018
11	6	1014
12	7	1012
13	7	1010
14	8	1005
15	8	1003
16	9	1002
17	9	1001
18	10	998
19	10	1000
20	11	995
21	12	1001
22	12	996
23	13	996
24	13	995
25	14	1000
26	14	1000
27	15	1001
28	15	1004
29	16	1002
30	17	1002
31	17	1002
32	18	1001
33	18	998
34	19	997
35	19	996
36	20	994
37	20	991
38	21	989
39	21	993
40	22	990
41	22	987
42	23	988
43	24	986
44	24	983
45	24	981
46	25	978
47	25	975
48	26	973
49	26	973
50	27	970
51	27	967
52	28	964
53	28	962
54	29	959
55	29	957
56	30	956
57	30	956
58	31	956
59	32	955
60	33	977
61	33	977
62	34	978
63	34	977
64	35	976
65	36	975
66	36	974
67	37	975
68	37	975
69	39	993
70	39	991
71	40	991
72	40	990
73	41	1007
74	42	1005
75	42	1002
76	43	1004
77	44	1004
78	44	1003
79	45	1002
80	45	1000
81	46	999
82	46	998
83	47	997
84	47	997
85	49	1011
86	49	1010
87	50	1009
88	50	1006
89	51	1005
90	51	1004
91	52	1004
92	53	1003
93	53	1008
94	54	1008
95	55	1007
96	55	1007
97	56	1006
98	56	1007
99	57	1007
100	58	1006
101	58	1005
102	59	1003
103	59	1004
104	60	1005
105	60	1004
106	61	1003
107	62	1013
108	63	1013
109	63	1012
110	64	1011
111	64	1009
112	65	1007
113	66	1008
114	66	1006
115	67	1006
116	67	1005
117	68	1004
118	68	1003
119	69	1002
120	70	1002
121	70	1001
122	71	1001
123	71	999
124	72	999
125	72	997
126	73	996
127	73	994
128	74	993
129	74	992
130	75	991
131	75	989
132	76	990
133	77	990
134	77	990
135	78	991
136	79	990
137	79	988
138	80	988
139	80	988
140	81	987
141	81	986
142	82	985
143	83	985
144	83	984
145	84	984
146	84	983
147	85	981
148	85	980
149	86	981
150	87	981
151	87	980
152	88	980
153	88	980
154	89	978
155	89	977
156	90	975
157	91	976
158	91	975
159	92	981
160	93	980
161	93	980
162	94	979
163	95	977
164	95	977
165	96	978
166	96	977
167	97	976
168	97	975
169	99	981
170	99	980
171	100	979
172	100	978
173	102	984
174	102	983
175	103	982
176	103	981
177	104	981
178	104	981
179	105	979
180	106	979
181	106	978
182	107	977
183	107	976
184	108	976
185	108	974
186	109	973
187	109	971
188	110	970
189	110	970
190	111	970
191	112	969
192	112	968
193	113	967
194	113	965
195	114	964
196	114	963
197	115	963
198	115	962
199	116	960
200	116	959
201	117	958
202	117	956
203	118	955
204	118	953
205	119	952
206	119	951
207	120	950
208	120	949
209	121	949
210	121	948
211	122	947
212	123	946
213	123	945
214	123	943
215	124	943
216	125	942
217	125	942
218	126	940
219	126	939
220	127	940
221	127	939
222	128	938
223	129	937
224	129	936
225	130	936
226	130	935
227	131	934
228	132	939
229	133	943
230	134	942
231	134	941
232	135	940
233	135	939
234	136	938
235	136	937
236	137	936
237	137	935
238	138	934
239	139	933
240	139	932
241	140	932
242	140	931
243	141	930
244	141	930
245	142	929
246	143	929
247	143	928
248	144	927
249	144	927
250	145	926
251	145	925
252	146	925
253	146	924
254	147	923
255	148	923
256	148	922
257	149	921
258	149	922
259	151	927
260	152	926
261	152	925
262	153	925
263	153	924
264	154	924
265	154	922
266	155	921
267	155	920
268	156	919
269	156	918
270	157	918
271	158	918
272	159	921
273	159	920
274	160	919
275	161	919
276	161	918
277	162	917
278	162	916
279	163	916
280	163	915
281	164	914
282	164	913
283	165	912
284	165	912
285	166	911
286	167	911
287	167	910
288	168	909
289	168	909
290	169	908
291	169	907
292	170	907
293	171	906
294	171	906
295	172	906
296	173	906
297	173	905
298	174	905
299	175	905
300	175	905
301	176	904
302	176	903
303	177	903
304	178	903
305	178	902
306	179	901
307	179	900
308	180	899
309	180	898
310	181	897
311	181	897
312	182	896
313	182	895
314	183	895
315	183	894
316	184	893
317	185	892
318	185	892
319	186	892
320	186	891
321	188	894
322	188	893
323	189	892
324	189	892
325	190	891
326	191	893
327	192	895
328	193	894
329	193	894
330	194	893
331	194	892
332	195	891
333	196	891
334	196	890
335	197	889
336	197	888
337	198	887
338	198	887
339	199	886
340	199	886
341	200	885
342	201	884
343	201	883
344	202	882
345	202	881
346	203	881
347	203	880
348	204	879
349	204	879
350	205	878
351	205	877
352	206	876
353	207	876
354	207	875
355	208	877
356	209	877
357	210	876
358	210	876
359	211	875
360	211	874
361	212	873
362	212	873
363	213	873
364	214	872
365	214	871
366	215	870
367	215	870
368	216	869
369	217	869
370	217	868
371	217	867
372	218	866
373	219	866
374	219	865
375	220	864
376	220	864
377	221	863
378	222	863
379	222	863
380	223	862
381	224	862
382	224	861
383	225	860
384	225	860
385	226	859
386	226	858
387	227	857
388	227	856
389	228	855
390	228	854
391	229	856
392	230	855
393	230	854
394	231	853
395	232	853
396	232	853
397	233	853
398	234	852
399	234	851
400	235	850
401	235	849
402	236	849
403	236	848
404	237	848
405	238	847
406	238	847
407	239	847
408	240	846
409	240	846
410	241	845
411	241	845
412	242	844
413	243	844
414	243	843
415	243	842
416	244	841
417	245	840
418	245	840
419	246	839
420	247	840
421	247	840
422	248	839
423	249	838
424	249	837
425	250	837
426	250	836
427	251	835
428	251	834
429	252	833
430	252	832
431	253	831
432	253	831
433	254	830
434	254	829
435	255	829
436	256	829
437	256	828
438	257	827
439	257	827
440	258	826
441	258	825
442	259	824
443	260	826
444	261	825
445	261	824
446	262	823
447	262	823
448	263	822
449	263	822
450	264	821
451	265	821
452	265	820
453	266	819
454	266	819
455	267	818
456	267	817
457	268	816
458	268	815
459	269	815
460	269	814
461	270	813
462	271	813
463	271	812
464	272	811
465	272	811
466	273	810
467	273	809
468	274	809
469	274	808
470	275	807
471	276	807
472	276	806
473	277	805
474	277	804
475	278	804
476	278	803
477	279	803
478	280	802
479	280	802
480	281	801
481	281	800
482	282	799
483	282	799
484	283	798
485	283	797
486	284	796
487	284	795
488	285	794
489	285	793
490	286	792
491	286	792
492	287	791
493	287	790
494	288	790
495	288	789
496	289	788
497	289	787
498	290	786
499	290	785
500	291	785
501	291	784
502	292	783
503	292	782
504	293	782
505	293	781
506	294	780
507	294	779
508	296	781
509	296	780
510	297	779
511	297	779
512	298	778
513	298	777
514	299	777
515	299	776
516	300	775
517	300	774
518	301	774
519	301	773
520	302	772
521	302	771
522	303	771
523	303	770
524	304	769
525	304	768
526	305	768
527	306	767
528	306	766
529	307	765
530	307	765
531	308	764
532	308	763
533	309	762
534	309	761
535	310	761
536	310	760
537	311	759
538	311	759
539	312	758
540	312	758
541	313	757
542	313	756
543	314	755
544	314	755
545	315	754
546	315	753
547	316	753
548	316	752
549	317	751
550	317	750
551	318	749
552	318	749
553	319	749
554	320	749
555	321	748
556	321	747
557	322	746
558	322	746
559	323	745
560	323	745
561	324	744
562	324	743
563	325	742
564	325	742
565	326	741
566	327	741
567	327	740
568	328	739
569	328	739
570	329	738
571	329	738
572	330	737
573	330	736
574	331	736
575	331	735
576	332	734
577	333	734
578	333	733
579	334	732
580	334	732
581	335	731
582	335	730
583	336	730
584	336	729
585	337	728
586	337	727
587	338	727
588	338	726
589	339	725
590	339	724
591	340	724
592	340	723
593	341	722
594	341	721
595	342	721
596	342	720
597	343	719
598	344	719
599	344	719
600	345	718
601	345	717
602	345	716
603	346	715
604	347	715
605	347	714
606	348	713
607	348	713
608	349	712
609	349	711
610	350	711
611	350	710
612	351	710
613	352	710
614	353	710
615	353	709
616	354	709
617	355	709
618	355	708
619	356	707
620	356	706
621	357	706
622	357	705
623	358	704
624	358	704
625	359	703
626	359	703
627	360	702
628	360	701
629	361	701
630	362	700
631	362	699
632	363	699
633	363	698
634	364	698
635	364	697
636	365	697
637	365	696
638	366	695
639	367	695
640	367	694
641	368	693
642	368	693
643	369	692
644	369	692
645	370	691
