,feature,importance
83,QualArea,0.12068249551403828
79,TotalSF,0.12023188018206837
11,Neighborhood,0.0942614349242546
84,CondArea,0.06105434960839848
80,TotalBath,0.05411080275030045
16,OverallQual,0.05312873587069161
82,OverallGrade,0.04241516464631819
56,FireplaceQu,0.040393424790035895
52,KitchenQual,0.034519281148291774
60,GarageCars,0.033729468234053955
59,GarageFinish,0.0318731696009089
3,LotArea,0.03041723345386
31,BsmtExposure,0.029178504822176602
37,TotalBsmtSF,0.026713072685825776
45,GrLivArea,0.026005641984309665
1,MSZoning,0.02582167343983163
18,YearBuilt,0.025494698181291617
32,BsmtFinType1,0.02506238384873182
57,GarageType,0.023870169422017862
26,ExterQual,0.02327308732463387
33,BsmtFinSF1,0.022889470273620163
86,RemodAge,0.022721908932465805
58,GarageYrBlt,0.022244519493145154
61,GarageArea,0.02185984859784125
42,1stFlrSF,0.02160652736287134
19,YearRemodAdd,0.021090851238119258
46,BsmtFullBath,0.01903548061490731
78,SaleCondition,0.01802427056733663
36,BsmtUnfSF,0.01755111807561349
81,TotalPorchSF,0.017502113111124023
28,Foundation,0.01711485096920557
55,Fireplaces,0.016853714619648304
39,HeatingQC,0.01508444413041306
22,Exterior1st,0.013794295044549064
29,BsmtQual,0.013318233318322548
12,Condition1,0.013193858572530586
85,HouseAge,0.012932476643982374
43,2ndFlrSF,0.012723419409742073
54,Functional,0.01242995774783557
64,PavedDrive,0.011887602478420677
69,ScreenPorch,0.010880508077994207
40,CentralAir,0.010606919851929877
9,LotConfig,0.010115182198951059
6,LotShape,0.01006968070540186
63,GarageCond,0.009921156133968965
62,GarageQual,0.009417157396022962
65,WoodDeckSF,0.009339545333584841
2,LotFrontage,0.009011416298478778
48,FullBath,0.008822566450576694
77,SaleType,0.008725522386586517
17,OverallCond,0.008442823599342572
66,OpenPorchSF,0.007400047002505051
0,MSSubClass,0.006813663700835353
27,ExterCond,0.006797415117230986
49,HalfBath,0.006538586894534098
25,MasVnrArea,0.006429696209101323
75,MoSold,0.00595463755250706
76,YrSold,0.005580970517546158
14,BldgType,0.005467756932604881
53,TotRmsAbvGrd,0.004747482021605313
15,HouseStyle,0.00334663125700135
20,RoofStyle,0.0032060372033883037
23,Exterior2nd,0.003126154129611776
67,EnclosedPorch,0.0030431353721282147
30,BsmtCond,0.002925163083381426
72,Fence,0.0028439172857403763
24,MasVnrType,0.002372068198112831
10,LandSlope,0.0019411856189413353
35,BsmtFinSF2,0.001886098476928208
50,BedroomAbvGr,0.0016336890490382385
51,KitchenAbvGr,0.0015230243985170943
70,PoolArea,0.001521697012020887
7,LandContour,0.0014828450109958906
41,Electrical,0.001275370016701394
89,HasFireplace,0.0008647205345979008
4,Street,0.0008557116895281132
34,BsmtFinType2,0.0007819598951199427
74,MiscVal,0.0004497975316687947
38,Heating,0.00043409690210519726
68,3SsnPorch,0.0004086534899786623
5,Alley,0.00039186484047856924
47,BsmtHalfBath,0.0003666857043086024
71,PoolQC,0.0002846225580465567
21,RoofMatl,0.00027593650960226193
44,LowQualFinSF,0.0002042326114272702
8,Utilities,7.029744268460082e-05
90,HasPool,5.910326338123589e-05
73,MiscFeature,3.877795794533835e-05
13,Condition2,3.3032540128507375e-05
87,HasBasement,0.0
88,HasGarage,0.0
91,Has2ndFloor,0.0
