,feature,importance
9,OverallQual,0.04469503560719851
36,GrLivArea,0.04065592229450915
18,ExterQual,0.034259079972518945
33,1stFlrSF,0.03234909556063025
39,FullBath,0.03224178106064873
44,TotRmsAbvGrd,0.024776780907091085
51,GarageCars,0.024597590133968398
5,Neighborhood,0.02449245563543411
29,TotalBsmtSF,0.02397888189070276
52,GarageArea,0.023953050960387707
43,KitchenQual,0.022355190907185685
12,YearRemodAdd,0.021178686431186606
34,2ndFlrSF,0.018871027764190012
17,MasVnrArea,0.016669552356424432
47,FireplaceQu,0.016571888854953955
1,MSZoning,0.016282807045917273
31,CentralAir,0.015734383702073272
25,BsmtFinSF1,0.01312322586980995
30,HeatingQC,0.013024889656594643
32,Electrical,0.012925391634521471
40,HalfBath,0.012617548586739935
37,BsmtFullBath,0.012048354370898033
46,Fireplaces,0.01202391137363056
48,GarageType,0.011646902938370335
11,YearBuilt,0.011577180001913599
49,GarageYrBlt,0.01147806448028056
8,HouseStyle,0.01118709089367941
54,GarageCond,0.010934519392291644
53,GarageQual,0.010477713208680104
20,Foundation,0.010406776250950416
24,BsmtFinType1,0.010164655765235238
41,BedroomAbvGr,0.008967928714736463
14,Exterior1st,0.008867075872588497
55,PavedDrive,0.008242590984855936
57,OpenPorchSF,0.008008561141775873
23,BsmtExposure,0.007706680360779142
16,MasVnrType,0.007531986631504599
21,BsmtQual,0.007286667847281328
22,BsmtCond,0.007173445785382809
15,Exterior2nd,0.006977911486896269
65,SaleCondition,0.006956258158892569
64,SaleType,0.005850510469273232
4,LotConfig,0.005380084896832281
0,MSSubClass,0.005378912184175366
58,EnclosedPorch,0.005213109306920914
13,RoofStyle,0.005195174004711376
50,GarageFinish,0.004213945892335858
7,BldgType,0.004133307642874523
2,LotArea,0.0038416277195389135
45,Functional,0.0036757109242009857
10,OverallCond,0.003520500329917834
6,Condition1,0.003308556369644314
62,MoSold,0.0032303094612939867
28,BsmtUnfSF,0.002545086041104684
60,ScreenPorch,0.0023976689939756712
56,WoodDeckSF,0.0021526696430386036
63,YrSold,0.0020861631459459956
3,LotShape,0.001651915708340342
19,ExterCond,0.0016186147791748377
26,BsmtFinType2,0.0014465265513890556
38,BsmtHalfBath,0.0012100382199463377
42,KitchenAbvGr,0.0011027256524807354
35,LowQualFinSF,0.0007740414412077042
61,MiscVal,0.0006560258529114756
27,BsmtFinSF2,0.0005540071136074911
59,3SsnPorch,0.0
