,feature,importance
83,QualArea,0.3588928743431738
11,Neighborhood,0.1295467029966411
79,TotalSF,0.09546258123086619
16,OverallQual,0.05265259816431831
84,CondArea,0.05232266961357107
33,BsmtFinSF1,0.036143462932138715
52,KitchenQual,0.03193072778095357
37,TotalBsmtSF,0.03038403736252585
82,OverallGrade,0.028587390186652833
56,FireplaceQu,0.02796797741309092
3,LotArea,0.027558594322172895
60,GarageCars,0.027275210779414173
32,BsmtFinType1,0.02631318269606392
18,YearBuilt,0.023671697508944944
1,MSZoning,0.021119338839829197
39,HeatingQC,0.020959899010329196
81,TotalPorchSF,0.02093944692534617
31,BsmtExposure,0.020538917172837196
57,GarageType,0.01766058092862239
36,BsmtUnfSF,0.014964553438464949
61,GarageArea,0.014545367703089973
59,GarageFinish,0.01363023440012169
66,OpenPorchSF,0.013390405676164611
80,TotalBath,0.013074298801043287
29,BsmtQual,0.01300565228942759
86,RemodAge,0.012966636123886611
42,1stFlrSF,0.012634365796049844
58,GarageYrBlt,0.012057656916443664
40,CentralAir,0.011388219474880197
12,Condition1,0.011132494002528614
26,ExterQual,0.010968475852611556
78,SaleCondition,0.010763327240979993
2,LotFrontage,0.010396154874127752
19,YearRemodAdd,0.009623748276106552
9,LotConfig,0.008967053163652188
85,HouseAge,0.008945461545901633
46,BsmtFullBath,0.008493181584389392
22,Exterior1st,0.008156747518668132
27,ExterCond,0.007753460790263693
54,Functional,0.007427713669106643
75,MoSold,0.006508951809342589
45,GrLivArea,0.006174244538669619
69,ScreenPorch,0.006084095264198844
28,Foundation,0.00592938742433604
48,FullBath,0.005558917608896364
63,GarageCond,0.005334742044584435
64,PavedDrive,0.005030647996467258
65,WoodDeckSF,0.004812731695684988
0,MSSubClass,0.004661812214627226
43,2ndFlrSF,0.004330698145537516
6,LotShape,0.0041904058379067105
55,Fireplaces,0.0040048862585418425
67,EnclosedPorch,0.003943981297144089
76,YrSold,0.003707648544411252
30,BsmtCond,0.0035361901595333412
7,LandContour,0.0034960655224881066
25,MasVnrArea,0.00343547895788724
24,MasVnrType,0.003227170902199199
15,HouseStyle,0.0031579351161172076
49,HalfBath,0.00279476581880741
62,GarageQual,0.0027421660575506833
17,OverallCond,0.002631241212463631
23,Exterior2nd,0.0022950868659699503
53,TotRmsAbvGrd,0.002134855620925471
41,Electrical,0.0019567572311774903
35,BsmtFinSF2,0.0017752566403866972
50,BedroomAbvGr,0.0016297177516086101
14,BldgType,0.0013189302273512542
20,RoofStyle,0.0011213947380031928
77,SaleType,0.0009726953902823172
34,BsmtFinType2,0.0007662360122433513
10,LandSlope,0.0004577016601292155
51,KitchenAbvGr,0.0003508868404645372
74,MiscVal,0.00029840089289204664
5,Alley,0.00018528383294709092
72,Fence,0.00017203699457599028
68,3SsnPorch,0.0001579918125976472
4,Street,0.0
89,HasFireplace,0.0
87,HasBasement,0.0
90,HasPool,0.0
88,HasGarage,0.0
70,PoolArea,0.0
8,Utilities,0.0
13,Condition2,0.0
73,MiscFeature,0.0
71,PoolQC,0.0
21,RoofMatl,0.0
38,Heating,0.0
44,LowQualFinSF,0.0
47,BsmtHalfBath,0.0
91,Has2ndFloor,0.0
