,feature,importance
83,QualArea,0.17323491082973227
18,YearBuilt,0.07861059056015415
84,CondArea,0.07148593245525874
43,2ndFlrSF,0.07046721646333401
79,TotalSF,0.060238995964404476
91,Has2ndFloor,0.040824557348087244
3,LotArea,0.03946095138731349
11,Neighborhood,0.030460055635357933
28,Foundation,0.030405398236860705
60,GarageCars,0.029945523822060446
81,TotalPorchSF,0.025897370158128145
46,BsmtFullBath,0.025458196510727237
70,PoolArea,0.020979755941328008
48,FullBath,0.016912142475660086
42,1stFlrSF,0.01662096281940945
63,GarageCond,0.01651654181938998
17,OverallCond,0.01646002505595127
90,HasPool,0.015962829988749642
78,SaleCondition,0.014882832797645034
24,MasVnrType,0.01455813775875295
32,BsmtFinType1,0.014129029950926532
53,TotRmsAbvGrd,0.012296449108881785
39,HeatingQC,0.011595468514554614
12,Condition1,0.011513439904807177
51,KitchenAbvGr,0.010244339310066615
33,BsmtFinSF1,0.009696873079350455
16,OverallQual,0.009659404883822269
52,KitchenQual,0.008943633029547095
37,TotalBsmtSF,0.008752541680939072
61,GarageArea,0.008457314947778835
10,LandSlope,0.00822575730547405
30,BsmtCond,0.007926364406241266
36,BsmtUnfSF,0.007539922769358671
77,SaleType,0.007408534096188311
45,GrLivArea,0.0070416929576675525
0,MSSubClass,0.0068170396429809476
71,PoolQC,0.0067766473499330585
9,LotConfig,0.006593576507766734
35,BsmtFinSF2,0.006533302377431441
54,Functional,0.006511261738659649
65,WoodDeckSF,0.006440445036954247
27,ExterCond,0.006322814042805396
49,HalfBath,0.006292038053092414
56,FireplaceQu,0.005774611248695092
31,BsmtExposure,0.005749097944298934
50,BedroomAbvGr,0.005437752689220147
76,YrSold,0.005401225300439737
69,ScreenPorch,0.00518087627450672
1,MSZoning,0.004996608474262664
2,LotFrontage,0.004581864015629629
47,BsmtHalfBath,0.0039004766917663317
38,Heating,0.003882014383154262
89,HasFireplace,0.0038459960548918484
55,Fireplaces,0.003842731405976406
59,GarageFinish,0.003721677413936742
66,OpenPorchSF,0.00364773541388251
75,MoSold,0.0036091584991109035
68,3SsnPorch,0.0035831668959780214
86,RemodAge,0.003529372230762729
15,HouseStyle,0.0034926047729781614
34,BsmtFinType2,0.0034672664358488437
72,Fence,0.003460076198733567
25,MasVnrArea,0.003368685552394707
40,CentralAir,0.0032957402077950894
5,Alley,0.0030247474167938502
19,YearRemodAdd,0.002747506970089348
58,GarageYrBlt,0.002583552439967868
57,GarageType,0.0024355140271159394
67,EnclosedPorch,0.002419250067688431
22,Exterior1st,0.0024169069647366525
29,BsmtQual,0.0023696587932906243
23,Exterior2nd,0.002246222277432111
26,ExterQual,0.0020451625272998432
88,HasGarage,0.0020434369704578855
64,PavedDrive,0.00201620993982316
82,OverallGrade,0.0018926138939346364
7,LandContour,0.0018487805986843397
62,GarageQual,0.0018283632530835935
6,LotShape,0.0015688910026152917
80,TotalBath,0.0014620972715618861
14,BldgType,0.001374471224652933
13,Condition2,0.00133617581020734
20,RoofStyle,0.001324335643002939
44,LowQualFinSF,0.0008509158970051309
41,Electrical,0.0007382752123242224
21,RoofMatl,0.0006419925829376424
85,HouseAge,0.0003583900446755701
74,MiscVal,0.0
73,MiscFeature,0.0
4,Street,0.0
8,Utilities,0.0
87,HasBasement,0.0
