,feature,importance
79,TotalSF,0.07866783661595961
83,QualArea,0.06867692014971384
84,CondArea,0.06820252254686117
45,GrLivArea,0.0635433988919449
16,OverallQual,0.04323080673245067
3,LotArea,0.033024787468309155
42,1stFlrSF,0.03283570536344852
60,GarageCars,0.032317118781386336
82,OverallGrade,0.0289096907017685
33,BsmtFinSF1,0.024919154651055535
11,Neighborhood,0.023935784231711377
61,GarageArea,0.02237006405585342
85,HouseAge,0.020206411030087894
1,MSZoning,0.018557375174200304
78,SaleCondition,0.018327204228683322
18,YearBuilt,0.018169480501959653
52,KitchenQual,0.01787046988579112
12,Condition1,0.01627302719224242
29,BsmtQual,0.015274532365036153
28,Foundation,0.011644907110823034
32,BsmtFinType1,0.010283321772458687
54,Functional,0.010160116453259826
35,BsmtFinSF2,0.009094783775024717
53,TotRmsAbvGrd,0.008490393637590328
59,GarageFinish,0.006463932315489048
31,BsmtExposure,0.006438041700622374
10,LandSlope,0.00637514775355417
51,KitchenAbvGr,0.0058857717259250064
62,GarageQual,0.005873316365060284
30,BsmtCond,0.005595156621475924
88,HasGarage,0.005530071077210659
22,Exterior1st,0.005427550134522389
37,TotalBsmtSF,0.004882388718697609
9,LotConfig,0.004754107072035083
80,TotalBath,0.004628515167750205
69,ScreenPorch,0.0044012296307614565
63,GarageCond,0.0042008992082396895
40,CentralAir,0.0034380061734028884
24,MasVnrType,0.00324348037473933
5,Alley,0.0032057843921984666
81,TotalPorchSF,0.003101093553909954
68,3SsnPorch,0.003089632008235515
66,OpenPorchSF,0.002773486691777331
15,HouseStyle,0.0026135632783374535
17,OverallCond,0.0024881999830860626
44,LowQualFinSF,0.002462945836549899
77,SaleType,0.0021655609059437237
64,PavedDrive,0.0021388791731710094
23,Exterior2nd,0.001996308460908981
7,LandContour,0.0018752709776233933
56,FireplaceQu,0.0017909618865860407
26,ExterQual,0.0017524363636531837
6,LotShape,0.0017219487392035825
67,EnclosedPorch,0.0016479874104008592
57,GarageType,0.0016103170103416583
39,HeatingQC,0.0015959199059584642
14,BldgType,0.001392121104799984
55,Fireplaces,0.0013872349709696937
87,HasBasement,0.0013428788976101221
25,MasVnrArea,0.0012842947855880602
2,LotFrontage,0.0012527451968222605
48,FullBath,0.001225519591537911
46,BsmtFullBath,0.0012013729309192109
43,2ndFlrSF,0.001088473970858019
70,PoolArea,0.0010432491227854695
47,BsmtHalfBath,0.0008510851768335951
27,ExterCond,0.0008280537286344855
50,BedroomAbvGr,0.000683415393775621
71,PoolQC,0.0006550500904103259
90,HasPool,0.0006398864494288325
0,MSSubClass,0.00047819866384130695
34,BsmtFinType2,0.0003889850996649008
76,YrSold,0.0002942094191165783
21,RoofMatl,0.00022142184631612161
58,GarageYrBlt,0.00016223809556461982
49,HalfBath,0.00016144493634937998
41,Electrical,9.483208551594398e-05
65,WoodDeckSF,0.0
19,YearRemodAdd,0.0
4,Street,0.0
89,HasFireplace,0.0
8,Utilities,0.0
13,Condition2,0.0
86,RemodAge,0.0
36,BsmtUnfSF,0.0
20,RoofStyle,0.0
72,Fence,0.0
38,Heating,0.0
75,MoSold,0.0
74,MiscVal,0.0
73,MiscFeature,0.0
91,Has2ndFloor,0.0
