,feature,importance
83,QualArea,0.4262971
11,Neighborhood,0.1105702
79,TotalSF,0.07938219
84,CondArea,0.04626632
33,BsmtFinSF1,0.040763315
16,OverallQual,0.03875722
3,LotArea,0.035622012
60,GarageCars,0.03509809
37,TotalBsmtSF,0.033862855
52,KitchenQual,0.029845992
81,TotalPorchSF,0.027441196
56,FireplaceQu,0.027270483
32,BsmtFinType1,0.02450765
18,YearBuilt,0.023292366
82,OverallGrade,0.02062633
61,GarageArea,0.020267215
31,BsmtExposure,0.018777933
86,RemodAge,0.018691009
57,GarageType,0.015625501
59,GarageFinish,0.015594573
58,GarageYrBlt,0.015503578
39,HeatingQC,0.01495459
40,CentralAir,0.014393474
1,MSZoning,0.012775175
19,YearRemodAdd,0.012280364
80,TotalBath,0.011982922
42,1stFlrSF,0.011524853
85,HouseAge,0.011456324
36,BsmtUnfSF,0.010841921
29,BsmtQual,0.009629845
2,LotFrontage,0.009523347
22,Exterior1st,0.0088949045
12,Condition1,0.007868046
78,SaleCondition,0.007863057
66,OpenPorchSF,0.0074126264
75,MoSold,0.0067164586
49,HalfBath,0.006521065
17,OverallCond,0.0065026996
9,LotConfig,0.006203424
25,MasVnrArea,0.0060385815
45,GrLivArea,0.0057077277
43,2ndFlrSF,0.005384359
28,Foundation,0.0052155824
54,Functional,0.004955956
0,MSSubClass,0.0048810877
65,WoodDeckSF,0.0048479657
46,BsmtFullBath,0.004757394
27,ExterCond,0.004646731
50,BedroomAbvGr,0.004634686
53,TotRmsAbvGrd,0.0046262997
64,PavedDrive,0.0041661365
76,YrSold,0.003866628
5,Alley,0.0038340176
69,ScreenPorch,0.0035048532
7,LandContour,0.0031794067
23,Exterior2nd,0.0031784605
62,GarageQual,0.0031458472
55,Fireplaces,0.0030715386
20,RoofStyle,0.0030455806
67,EnclosedPorch,0.0027121855
15,HouseStyle,0.002639616
35,BsmtFinSF2,0.0023346324
30,BsmtCond,0.0021903857
6,LotShape,0.0021249184
72,Fence,0.0019935272
24,MasVnrType,0.0017755547
77,SaleType,0.0017626683
51,KitchenAbvGr,0.0014124673
68,3SsnPorch,0.0012340567
14,BldgType,0.0012187125
34,BsmtFinType2,0.0010829483
48,FullBath,0.0010537888
41,Electrical,0.0009641431
63,GarageCond,0.0008533288
70,PoolArea,0.00071948144
10,LandSlope,0.0005838469
74,MiscVal,0.00043393864
73,MiscFeature,0.0004108458
26,ExterQual,0.00032542236
21,RoofMatl,0.0003040956
13,Condition2,0.00021438426
4,Street,0.00020049249
47,BsmtHalfBath,8.345944e-05
44,LowQualFinSF,7.4905314e-05
8,Utilities,0.0
71,PoolQC,0.0
38,Heating,0.0
87,HasBasement,0.0
88,HasGarage,0.0
89,HasFireplace,0.0
90,HasPool,0.0
91,Has2ndFloor,0.0
