,feature,importance
36,GrLivArea,0.05129750555669769
9,OverallQual,0.04253263282403632
38,FullBath,0.037787337629090985
43,TotRmsAbvGrd,0.037240981924078806
33,1stFlrSF,0.03232054704943976
50,GarageCars,0.030197460021533812
42,KitchenQual,0.028488417084812447
18,ExterQual,0.028261748374666905
12,YearRemodAdd,0.026508384577226925
37,BsmtFullBath,0.025627349765126754
51,GarageArea,0.024886131999984806
5,Neighborhood,0.024670244106543397
29,TotalBsmtSF,0.023342431672917646
34,2ndFlrSF,0.02219773882884121
24,BsmtFinType1,0.02104658519593297
39,HalfBath,0.019269008379265262
16,MasVnrType,0.01746360366608081
25,BsmtFinSF1,0.01586049958882036
30,HeatingQC,0.015603005907781112
56,OpenPorchSF,0.015485820775229949
31,CentralAir,0.014520255752993073
1,MSZoning,0.014331392248082464
14,Exterior1st,0.013808654523255293
11,YearBuilt,0.013456840349297599
20,Foundation,0.011929405285296105
46,FireplaceQu,0.011147503871178278
52,GarageQual,0.010420462958062121
45,Fireplaces,0.01038988261401982
63,SaleType,0.010145043321247575
53,GarageCond,0.009936557509687324
64,SaleCondition,0.009914481903635178
13,RoofStyle,0.009441520019949563
15,Exterior2nd,0.00887452585467832
22,BsmtCond,0.008828461009870696
21,BsmtQual,0.007952337735872627
17,MasVnrArea,0.007949307173741905
59,ScreenPorch,0.007204894660660732
40,BedroomAbvGr,0.007043635449911408
4,LotConfig,0.006906287699961287
47,GarageType,0.006839065819718021
48,GarageYrBlt,0.006790125178694115
0,MSSubClass,0.0067460409714224226
7,BldgType,0.006424065154337453
54,PavedDrive,0.006244442438746107
23,BsmtExposure,0.0057595543157353025
8,HouseStyle,0.005583052450039556
2,LotArea,0.0053824268059038
28,BsmtUnfSF,0.005343812810550143
6,Condition1,0.005097717335921528
10,OverallCond,0.004418899080319689
57,EnclosedPorch,0.004084011261417044
55,WoodDeckSF,0.0034669799932991476
26,BsmtFinType2,0.0034263865247886665
32,Electrical,0.003347358757361365
41,KitchenAbvGr,0.003206819979094887
3,LotShape,0.0031754595319020756
61,MoSold,0.0030481938372345133
44,Functional,0.002751324160060231
60,MiscVal,0.002448848161122686
27,BsmtFinSF2,0.002033328631638767
49,GarageFinish,0.0019193052129207156
62,YrSold,0.0015628109921078663
19,ExterCond,0.0007955943211238466
35,LowQualFinSF,0.00041344616803339854
58,3SsnPorch,0.0
