,feature,importance
9,OverallQual,0.29842691499434154
36,GrLivArea,0.23982544308314388
5,Neighborhood,0.1277000792539966
11,YearBuilt,0.09307185940324389
29,TotalBsmtSF,0.07589443607254458
25,BsmtFinSF1,0.04595513551597882
51,GarageArea,0.03891115580371636
33,1stFlrSF,0.03852394967506675
50,GarageCars,0.037883867609451095
10,OverallCond,0.036596270454990774
46,FireplaceQu,0.033048970434640695
37,BsmtFullBath,0.03005062471237487
31,CentralAir,0.02699789403088324
64,SaleCondition,0.025660005656703327
2,LotArea,0.024422478937325028
24,BsmtFinType1,0.02095437830408333
34,2ndFlrSF,0.02072161764285597
12,YearRemodAdd,0.0205982989647617
56,OpenPorchSF,0.020140154087417737
52,GarageQual,0.019380458346040692
49,GarageFinish,0.019232952524598047
55,WoodDeckSF,0.016457385564041777
61,MoSold,0.0156525384221062
48,GarageYrBlt,0.01361805006168303
14,Exterior1st,0.013499299808670559
42,KitchenQual,0.01048962790309869
28,BsmtUnfSF,0.009404084427986712
30,HeatingQC,0.008970244118317544
21,BsmtQual,0.008186960253710553
17,MasVnrArea,0.007850323532728782
54,PavedDrive,0.007487457896284288
1,MSZoning,0.00746937511135134
44,Functional,0.007214063731044006
23,BsmtExposure,0.007013137964773
6,Condition1,0.006946676119321989
0,MSSubClass,0.0069358137559544
45,Fireplaces,0.006266129858982432
47,GarageType,0.0059556879095919195
59,ScreenPorch,0.005739361192973027
16,MasVnrType,0.005447620823329816
39,HalfBath,0.005064059488851511
22,BsmtCond,0.004884715032900439
57,EnclosedPorch,0.004281958287201201
8,HouseStyle,0.0041929342779918125
62,YrSold,0.0037467284029689698
40,BedroomAbvGr,0.0035408154010390207
3,LotShape,0.0028061314774268675
43,TotRmsAbvGrd,0.002681962207576872
15,Exterior2nd,0.002679621047475145
63,SaleType,0.002095975005506462
32,Electrical,0.001708232374540496
13,RoofStyle,0.0015949842787425865
38,FullBath,0.0010594160727278004
7,BldgType,0.0010486458622092079
20,Foundation,0.0009104874709586448
4,LotConfig,0.0007140097767866063
18,ExterQual,0.0003761419499031272
26,BsmtFinType2,0.0002827762111512973
27,BsmtFinSF2,0.00013546672515118099
53,GarageCond,0.0
19,ExterCond,0.0
58,3SsnPorch,0.0
60,MiscVal,0.0
41,KitchenAbvGr,0.0
35,LowQualFinSF,0.0
