,feature,importance
36,GrLivArea,0.12083680754294368
9,OverallQual,0.08988914706883301
33,1stFlrSF,0.06376900739850395
34,2ndFlrSF,0.06252381680075421
29,TotalBsmtSF,0.05725613126474189
5,Neighborhood,0.05347152086723343
1,MSZoning,0.04461483894907013
11,YearBuilt,0.04006448676565032
50,GarageCars,0.037522993001798545
10,OverallCond,0.034463675145012744
25,BsmtFinSF1,0.0340426802866804
43,TotRmsAbvGrd,0.029982074322772317
64,SaleCondition,0.026483676527341668
2,LotArea,0.025317721839624177
38,FullBath,0.019776771408371616
22,BsmtCond,0.014991810928193645
51,GarageArea,0.013876690078536888
31,CentralAir,0.013135962986877569
45,Fireplaces,0.0123880284235368
37,BsmtFullBath,0.01186233889640878
52,GarageQual,0.009801456963981887
49,GarageFinish,0.009439259213708404
6,Condition1,0.009421146946088432
42,KitchenQual,0.008610384860539798
53,GarageCond,0.008443008398410163
12,YearRemodAdd,0.007472102974184408
24,BsmtFinType1,0.005568522905207863
56,OpenPorchSF,0.005563747787619811
13,RoofStyle,0.005158730097429323
21,BsmtQual,0.004956510194682292
54,PavedDrive,0.0042022146943472465
41,KitchenAbvGr,0.003823843506430366
59,ScreenPorch,0.00376992274497675
8,HouseStyle,0.003020148650579
14,Exterior1st,0.0027805034480227944
63,SaleType,0.0026805877814453233
20,Foundation,0.0023048432311197353
16,MasVnrType,0.00222401985019512
60,MiscVal,0.002106556174834679
44,Functional,0.002038013013704608
35,LowQualFinSF,0.0020230632213039047
32,Electrical,0.001968149096699204
47,GarageType,0.0019461979545778634
7,BldgType,0.001794243723595349
19,ExterCond,0.0015736862764353782
46,FireplaceQu,0.0014933683806587165
4,LotConfig,0.0014755473477155593
26,BsmtFinType2,0.0013464670558344864
0,MSSubClass,0.001090844471624661
39,HalfBath,0.0009625379466233546
61,MoSold,0.0009541754459042684
55,WoodDeckSF,0.0008546269399694554
18,ExterQual,0.0008019609858725729
62,YrSold,0.0007758354820188872
30,HeatingQC,0.0006959027693675187
57,EnclosedPorch,0.0006118256859351924
27,BsmtFinSF2,0.00045699798910040206
48,GarageYrBlt,0.0003513904453760417
28,BsmtUnfSF,0.00033445872583415053
40,BedroomAbvGr,0.000330067549917978
17,MasVnrArea,0.00026349539711886474
15,Exterior2nd,9.987180169533629e-05
23,BsmtExposure,0.0
58,3SsnPorch,0.0
3,LotShape,0.0
