,feature,importance
33,1stFlrSF,0.12621509865909633
34,2ndFlrSF,0.11268049984573203
9,OverallQual,0.10364993697540571
36,GrLivArea,0.09074564729108897
11,YearBuilt,0.08139571342100407
29,TotalBsmtSF,0.06911464209166406
10,OverallCond,0.04471344502159016
5,Neighborhood,0.041288630473274024
24,BsmtFinType1,0.031718809497799844
1,MSZoning,0.030708869399126346
54,GarageCond,0.020605807124705045
51,GarageCars,0.018759818806367175
20,Foundation,0.0183291815958004
49,GarageYrBlt,0.01611196145530032
50,GarageFinish,0.015469688847431362
39,FullBath,0.014505487241044224
31,CentralAir,0.014214437044404955
41,BedroomAbvGr,0.01397408649498284
30,HeatingQC,0.013176695619122195
45,Functional,0.013077500868430307
15,Exterior2nd,0.010942630658514313
0,MSSubClass,0.010752599951706758
7,BldgType,0.00992388924661809
64,SaleType,0.009593441221580727
47,FireplaceQu,0.008775451850247699
58,EnclosedPorch,0.008731684222271045
37,BsmtFullBath,0.008668363185942652
52,GarageArea,0.008454072163697006
43,KitchenQual,0.007924373878347019
46,Fireplaces,0.007725666388059342
60,ScreenPorch,0.007620723034774549
6,Condition1,0.007091887920306765
40,HalfBath,0.006259582946031135
53,GarageQual,0.0062141788733248
65,SaleCondition,0.006192159899758988
25,BsmtFinSF1,0.0059670815945154524
56,WoodDeckSF,0.005665321703828544
26,BsmtFinType2,0.005459775446212403
42,KitchenAbvGr,0.0054164496300402746
18,ExterQual,0.005094593750627085
32,Electrical,0.005035658979496402
62,MoSold,0.005007131379377282
16,MasVnrType,0.0047264405060733995
21,BsmtQual,0.0039665939457015666
17,MasVnrArea,0.003800810331936463
2,LotArea,0.003702217558546861
12,YearRemodAdd,0.003652809774175199
19,ExterCond,0.0034737814639980787
8,HouseStyle,0.003394628953571925
57,OpenPorchSF,0.0033012810795819744
22,BsmtCond,0.0032216125302619615
38,BsmtHalfBath,0.003214411650893054
14,Exterior1st,0.0032098568181620473
44,TotRmsAbvGrd,0.0030032960030904
27,BsmtFinSF2,0.0028180907936249115
35,LowQualFinSF,0.002742321631613878
4,LotConfig,0.0025242483157375153
23,BsmtExposure,0.0023471676204585945
63,YrSold,0.0023076578894524026
13,RoofStyle,0.002181539366330609
55,PavedDrive,0.002123751712696666
3,LotShape,0.0020027126327837094
28,BsmtUnfSF,0.0019602815154265213
61,MiscVal,0.0010796240592483818
48,GarageType,6.211009496128904e-05
59,3SsnPorch,0.0
