,feature,importance
9,OverallQual,0.3698242
36,GrLivArea,0.19136514
5,Neighborhood,0.13126789
29,TotalBsmtSF,0.060734145
33,1stFlrSF,0.050795358
52,GarageArea,0.04517732
25,BsmtFinSF1,0.041917723
51,GarageCars,0.04050387
10,OverallCond,0.038577083
11,YearBuilt,0.037399333
43,KitchenQual,0.03401351
47,FireplaceQu,0.026629552
2,LotArea,0.026518904
12,YearRemodAdd,0.019249905
24,BsmtFinType1,0.017080365
48,GarageType,0.015799807
56,WoodDeckSF,0.015184677
18,ExterQual,0.0147300195
34,2ndFlrSF,0.014597335
50,GarageFinish,0.01337464
30,HeatingQC,0.012710224
62,MoSold,0.011789315
37,BsmtFullBath,0.011571848
6,Condition1,0.010251756
21,BsmtQual,0.01013852
28,BsmtUnfSF,0.009661277
57,OpenPorchSF,0.009542855
65,SaleCondition,0.009272422
23,BsmtExposure,0.008436428
14,Exterior1st,0.0075749354
53,GarageQual,0.0071644546
49,GarageYrBlt,0.007072094
40,HalfBath,0.0069891624
17,MasVnrArea,0.0068139844
20,Foundation,0.0065514273
0,MSSubClass,0.006238535
15,Exterior2nd,0.005993887
63,YrSold,0.0054424047
46,Fireplaces,0.0053837234
64,SaleType,0.0048725666
22,BsmtCond,0.0047438806
45,Functional,0.004717198
31,CentralAir,0.0042489124
58,EnclosedPorch,0.0040840767
3,LotShape,0.0037706825
4,LotConfig,0.0037566721
7,BldgType,0.003606386
60,ScreenPorch,0.003329264
13,RoofStyle,0.0031529162
27,BsmtFinSF2,0.0029872565
41,BedroomAbvGr,0.0028504843
8,HouseStyle,0.002617062
44,TotRmsAbvGrd,0.0022709188
1,MSZoning,0.0013686325
16,MasVnrType,0.00088981265
32,Electrical,0.0008346435
61,MiscVal,0.00055523263
39,FullBath,0.00042108475
55,PavedDrive,0.000367125
26,BsmtFinType2,0.00033877435
38,BsmtHalfBath,0.00018153078
19,ExterCond,0.00018110265
42,KitchenAbvGr,0.0
54,GarageCond,0.0
59,3SsnPorch,0.0
35,LowQualFinSF,0.0
