iter	RMSE
0	0.9926719919
1	0.9806639597
2	0.9681931317
3	0.956257796
4	0.9438254443
5	0.9322578241
6	0.9207813447
7	0.9098537097
8	0.8986484614
9	0.8876714501
10	0.8767084441
11	0.8661955684
12	0.8553857438
13	0.8452056589
14	0.8350455088
15	0.8246736654
16	0.8149123878
17	0.8050847781
18	0.7962551468
19	0.7876461812
20	0.7787583305
21	0.7695975126
22	0.7610353297
23	0.7527252721
24	0.7443285732
25	0.7358482506
26	0.7277945094
27	0.7200490212
28	0.7119181891
29	0.7037091802
30	0.6962844869
31	0.6892048472
32	0.6819343963
33	0.6750573286
34	0.6680416773
35	0.6605483949
36	0.653400371
37	0.6466312977
38	0.6399355781
39	0.6332220084
40	0.6267607339
41	0.6203234354
42	0.6137262634
43	0.6072936263
44	0.6011575969
45	0.5954966958
46	0.5895947485
47	0.5841810667
48	0.5782123276
49	0.5729536272
50	0.5672141499
51	0.5616326807
52	0.5561797227
53	0.5511381569
54	0.5463084336
55	0.5413659657
56	0.5368589636
57	0.5322012693
58	0.5277763089
59	0.5229171905
60	0.5181999682
61	0.5138226202
62	0.5093358502
63	0.5052591319
64	0.5009639858
65	0.4965618366
66	0.4929777495
67	0.4887763193
68	0.4846681119
69	0.4808026562
70	0.4768344298
71	0.4729225215
72	0.4692232786
73	0.4653479117
74	0.4617760299
75	0.4582605492
76	0.4546106363
77	0.4511755067
78	0.4479351859
79	0.4447408695
80	0.4415062833
81	0.4383984
82	0.4353479089
83	0.4319853801
84	0.4290585338
85	0.4263112672
86	0.4233551012
87	0.4205259675
88	0.4179515617
89	0.4150642748
90	0.41268881
91	0.4097459241
92	0.4071127321
93	0.4047146639
94	0.4024098276
95	0.400041336
96	0.3977269933
97	0.3951856517
98	0.3928823586
99	0.3906947359
100	0.38836146
101	0.3860918414
102	0.3839662314
103	0.3818606289
104	0.3797719916
105	0.377618331
106	0.3755463159
107	0.3735516969
108	0.3715037723
109	0.3694555846
110	0.3674299901
111	0.3653471337
112	0.363305764
113	0.361576211
114	0.3597425458
115	0.3581407731
116	0.3562794112
117	0.3547236066
118	0.3528806475
119	0.3511723994
120	0.3491798339
121	0.3475525476
122	0.3458554978
123	0.3441033594
124	0.3424336212
125	0.3407870949
126	0.3394187374
127	0.3380447202
128	0.3364726016
129	0.3350803719
130	0.3336105637
131	0.3321886616
