iter	Passed	Remaining
0	0	908
1	1	897
2	1	909
3	2	909
4	2	905
5	3	898
6	3	912
7	4	914
8	5	931
9	5	923
10	6	936
11	6	942
12	7	939
13	7	928
14	8	919
15	8	923
16	9	938
17	10	940
18	10	951
19	11	945
20	11	936
21	12	942
22	13	938
23	13	933
24	14	933
25	15	973
26	15	972
27	16	966
28	16	962
29	17	962
30	18	958
31	18	956
32	19	952
33	19	946
34	20	946
35	20	945
36	21	943
37	21	940
38	22	943
39	22	939
40	23	939
41	24	937
42	24	934
43	25	933
44	25	935
45	26	933
46	26	934
47	27	932
48	28	932
49	28	929
50	29	926
51	29	926
52	30	929
53	30	926
54	31	923
55	31	923
56	32	922
57	32	921
58	33	918
59	33	916
60	34	917
61	35	915
62	35	912
63	36	912
64	36	912
65	37	911
66	37	909
67	38	907
68	38	906
69	39	907
70	39	906
71	40	904
72	41	903
73	41	900
74	42	899
75	42	897
76	42	894
77	43	892
78	44	895
79	44	895
80	45	893
81	45	892
82	46	894
83	47	898
84	47	896
85	48	894
86	48	892
87	49	891
88	50	902
89	51	905
90	51	905
91	52	904
92	52	902
93	53	903
94	54	901
95	54	903
96	55	903
97	56	906
98	56	905
99	57	916
100	58	917
101	59	915
102	60	925
103	61	937
104	62	936
105	62	934
106	63	933
107	64	942
108	65	940
109	65	938
110	67	947
111	67	945
112	68	945
113	68	944
114	69	944
115	69	942
116	70	941
117	70	939
118	71	937
119	71	935
120	72	934
121	73	933
122	73	932
123	74	939
124	75	939
125	76	939
126	76	937
127	77	935
128	78	941
129	78	939
130	79	937
131	79	937
132	80	935
133	80	933
134	81	931
135	81	930
136	82	928
137	82	926
138	83	924
139	83	922
140	84	921
141	84	919
142	85	918
143	85	916
144	86	915
145	86	913
146	87	913
147	88	911
148	88	910
149	89	909
150	89	908
151	90	906
152	90	906
153	91	904
154	91	903
155	92	902
156	92	900
157	93	901
158	94	900
159	94	900
160	95	900
161	96	901
162	98	912
163	98	911
164	99	910
165	99	911
166	100	909
167	101	909
168	101	908
169	102	907
170	102	906
171	103	904
172	103	903
173	104	903
174	104	901
175	105	902
176	106	902
177	106	902
178	107	901
179	108	900
180	108	900
181	109	899
182	110	903
183	110	902
184	111	901
185	112	901
186	112	899
187	113	900
188	113	899
189	114	897
190	114	895
191	115	895
192	115	893
193	116	893
194	117	893
195	118	893
196	118	892
197	119	891
198	119	891
199	120	889
200	120	888
201	121	886
202	121	885
203	122	883
204	122	882
205	123	881
206	123	880
207	124	878
208	125	883
209	126	882
210	126	880
211	127	880
212	127	879
213	128	877
214	128	876
215	129	875
216	129	875
217	130	875
218	130	873
219	131	872
220	132	871
221	133	875
222	133	874
223	134	873
224	134	872
225	135	870
226	135	870
227	136	868
228	137	868
229	137	867
230	138	866
231	138	865
232	139	864
233	139	863
234	140	861
235	140	861
236	141	860
237	141	859
238	142	858
239	143	858
240	143	857
241	144	856
242	144	855
243	145	854
244	146	857
245	146	856
246	147	855
247	147	853
248	148	854
249	149	854
250	149	853
251	150	852
252	150	851
253	151	850
254	152	849
255	152	849
256	153	848
257	153	847
258	154	847
259	154	846
260	155	845
261	156	844
262	156	843
263	157	843
264	157	842
265	158	841
266	158	840
267	159	839
268	159	838
269	160	837
270	160	836
271	161	835
272	161	834
273	162	833
274	162	832
275	163	831
276	163	830
277	164	829
278	164	828
279	165	827
280	165	826
281	166	825
282	167	824
283	167	824
284	168	823
285	168	823
286	169	822
287	170	821
288	170	820
289	171	819
290	171	818
291	172	818
292	172	817
293	173	817
294	173	816
295	174	814
296	174	813
297	175	813
298	175	812
299	176	811
300	176	810
301	177	809
302	178	809
303	178	808
304	179	807
305	179	807
306	180	806
307	181	806
308	181	805
309	182	804
310	182	803
311	183	802
312	183	802
313	184	801
314	184	800
315	185	799
316	185	798
317	186	797
318	186	797
319	187	796
320	187	795
321	188	794
322	188	793
323	189	793
324	190	792
325	190	791
326	191	791
327	191	791
328	192	790
329	192	789
330	193	788
331	193	787
332	194	787
333	195	787
334	195	786
335	196	785
336	197	787
337	198	787
338	198	786
339	199	785
340	199	784
341	200	784
342	200	783
343	201	782
344	202	781
345	202	780
346	203	780
347	203	779
348	204	778
349	204	777
350	205	777
351	205	776
352	206	775
353	207	775
354	207	775
355	208	775
356	209	776
357	210	775
358	210	774
359	211	774
360	211	773
361	212	772
362	212	771
363	213	771
364	213	770
365	214	770
366	215	769
367	215	768
368	216	768
369	216	767
370	217	766
371	218	769
372	219	768
373	219	767
374	220	767
375	221	767
376	221	766
377	222	765
378	222	765
379	223	764
380	224	763
381	224	762
382	225	762
383	225	761
384	226	760
385	226	759
386	227	758
387	227	757
388	228	757
389	228	756
390	229	755
391	229	754
392	230	754
393	230	753
394	231	753
395	232	752
396	232	752
397	233	751
398	233	750
399	234	750
400	235	749
401	235	749
402	236	748
403	236	747
404	237	746
405	237	746
406	238	745
407	238	745
408	239	744
409	239	743
410	240	742
411	240	741
412	241	740
413	242	740
414	242	739
415	243	738
416	243	738
417	244	737
418	244	736
419	245	735
420	245	734
421	246	734
422	246	733
423	247	732
424	248	734
425	249	733
426	249	733
427	250	732
428	250	731
429	251	731
430	252	730
431	252	729
432	253	729
433	253	728
434	255	730
435	255	729
436	256	729
437	256	728
438	257	727
439	257	726
440	258	726
441	259	725
442	259	724
443	260	724
444	260	723
445	262	725
446	262	724
447	263	723
448	263	722
449	264	722
450	264	721
451	265	720
452	265	719
453	266	718
454	266	718
455	267	717
456	267	716
457	268	715
458	268	715
459	269	714
460	269	713
461	270	712
462	270	711
463	271	711
464	271	710
465	272	709
466	272	708
467	273	708
468	273	707
469	274	706
470	274	705
471	275	705
472	276	704
473	276	703
474	277	702
475	277	702
476	278	702
477	278	701
478	279	700
479	280	701
480	281	700
481	281	699
482	282	699
483	282	698
484	283	697
485	283	696
486	284	696
487	284	695
488	285	695
489	285	694
490	287	695
491	287	694
492	288	693
493	288	693
494	289	692
495	289	691
496	290	691
497	290	690
498	291	689
499	291	688
500	292	688
501	293	687
502	293	687
503	294	686
504	294	685
505	295	684
506	295	684
507	296	683
508	296	682
509	297	682
510	297	681
511	298	680
512	298	680
513	299	679
514	299	678
515	300	677
516	301	678
517	302	677
518	302	677
519	303	676
520	303	675
521	304	674
522	304	674
523	305	673
524	305	672
525	306	671
526	306	671
527	307	670
528	307	669
529	308	669
530	309	668
531	309	668
532	310	667
533	310	666
534	310	665
535	311	664
536	311	664
537	312	663
538	313	662
539	313	661
540	314	661
541	314	661
542	315	660
543	315	659
544	316	659
545	317	658
546	317	658
547	318	657
548	318	656
549	319	656
550	320	655
551	320	655
552	321	654
553	321	654
554	322	653
555	323	653
556	323	652
557	324	651
558	324	651
559	325	650
560	325	649
561	326	649
562	326	648
563	327	647
564	327	647
565	328	646
566	328	645
567	329	644
568	329	644
569	330	643
570	331	644
571	332	643
572	332	642
573	334	643
574	334	643
575	335	642
576	335	641
577	336	641
578	336	640
579	337	639
580	337	638
581	338	638
582	338	637
583	339	636
584	340	636
585	340	635
586	341	635
587	342	635
588	343	635
589	343	634
590	344	634
591	344	633
592	345	633
593	346	632
594	346	632
595	347	631
596	347	630
597	348	630
598	348	629
599	349	628
600	349	628
601	350	627
602	350	626
603	351	626
604	352	625
605	353	626
606	353	625
607	354	624
608	354	624
609	355	623
610	355	622
611	356	622
612	357	621
613	357	620
614	358	620
615	358	619
616	359	618
617	359	617
618	360	617
619	360	616
620	361	615
621	361	615
622	362	614
623	362	614
624	363	613
625	364	613
626	364	612
627	365	611
628	365	611
629	366	610
630	366	609
631	367	608
632	367	608
